OP,A1,A2,A3,A4,A5
+,3654,6578,2914,6984,2416
+,1816,3189,8309,7312,3585
+,6360,2927,5776,6953,1859
+,8946,1737,4413,4138,5006
+,6054,1779,9585,7982,6685
+,849,8060,2833,4727,7376
+,4952,8346,2700,7972,1935
+,8315,7875,8706,4825,9208
+,952,2316,4761,7259,3348
+,1322,2153,5293,6083,4760
-,1300,4836,738,2514,8875
+,7499,8646,1246,4067,6890
+,749,8260,3757,7309,4124
+,3943,3620,7076,4367,1682
+,9649,115,4613,2655,3365
+,5226,9042,7555,7763,3505
+,7852,5228,5204,7227,4225
+,705,9029,4254,8463,4358
+,1609,4137,6802,1433,8580
+,5097,8484,55,6866,8057
+,4056,7644,4575,1371,3533
-,3174,3719,5167,4663,8304
+,8031,1053,3147,3844,4004
+,423,8711,5420,766,8871
+,4418,1663,5008,9087,4850
+,6765,5518,6838,930,1885
+,5941,8569,2659,1424,8382
+,7203,7100,169,3686,9968
+,4743,5190,6409,9634,3705
+,8511,3584,1666,2126,5776
+,8654,3404,7106,6697,5913
+,8630,566,7342,9065,3434
-,3193,7430,6529,8769,4052
+,9254,5821,6379,102,8228
+,2405,4053,7485,3921,2557
+,3037,8406,4670,9106,9835
+,3286,7449,5796,3329,1141
+,5892,90,9875,3155,7841
+,3392,5424,7651,3770,6049
+,3583,1541,1479,543,3870
+,4668,7727,6028,3222,3462
+,4813,8122,8504,7849,580
+,3503,420,4078,3799,5122
-,3882,4398,8719,1973,1998
+,1372,1085,2600,7399,9266
+,8917,2602,1384,5159,717
+,415,9545,6121,8133,5034
+,9920,2055,2858,3981,7752
+,9478,7249,2721,4086,4456
+,1350,4141,7400,8535,1540
+,9182,2571,1609,3242,7755
+,2249,8887,7448,7617,6785
+,8175,750,3567,6057,4247
+,695,8356,5812,1750,6388
-,3020,2893,283,3374,6037
+,4098,1629,4887,2159,4722
+,4610,7373,465,7874,5677
+,4968,1248,534,8420,7986
+,5061,1227,4939,454,2855
+,2918,6481,2345,5597,4838
+,5103,2635,8579,3535,8925
+,2352,6294,3945,2381,939
+,7380,5153,6638,5739,7553
+,6357,7534,2639,646,6996
+,8896,2171,101,3884,6352
-,1450,7660,922,6340,3900
+,1738,3185,8063,9174,6842
+,6601,158,2232,6174,6960
+,6579,7943,9532,3006,8014
+,5139,6287,1266,7011,2689
+,9192,755,1519,676,5386
+,5311,7534,671,3474,1502
+,7748,6933,5833,4775,5006
+,4067,3125,2725,2859,5853
+,8453,4658,2653,3099,1885
+,2829,1383,7067,3658,5935
-,4366,8810,784,9127,5513
+,4279,5015,7960,8516,8841
+,8144,4275,6151,623,3419
+,1757,9863,6579,7574,7134
+,8985,5412,9197,8793,4429
+,7372,4759,4161,3732,9977
+,7785,9110,2491,4309,2031
+,5615,8615,6820,3061,6255
+,470,7359,2600,4991,7292
+,3149,4756,2642,5170,8129
+,9299,8211,5658,2826,300
-,2004,2407,7176,5773,8372
+,9739,3932,7406,2125,6060
+,9629,2280,6992,4730,722
+,9715,884,1831,9822,6063
+,3203,1085,3220,6501,3558
+,3899,5131,1435,8933,4529
+,9222,1365,5067,7467,8412
+,1297,4482,2338,1874,5252
+,1690,3076,7633,2759,9773
+,5773,3692,4673,1117,9181
+,8599,3961,3510,3257,9327
-,4667,7037,1777,7228,5239
+,4083,4516,99,8343,5839
+,3194,1439,7974,4601,3295
+,3042,3541,3757,4528,3942
+,437,3723,9172,3990,1557
+,8183,1028,2789,7937,460
+,7245,738,8001,2555,9259
+,6833,3162,147,2147,720
+,6987,9146,6116,6949,1550
+,9262,4507,2217,5165,6147
+,9212,3016,263,8265,2509
-,6196,4821,306,9576,111
+,4433,5405,949,5691,4486
+,4139,7286,7923,8771,495
+,3255,1854,4046,9830,8490
+,3158,3098,5025,1456,2955
+,8271,6614,2200,7643,6165
+,8260,9917,9674,6028,3015
+,7990,694,7271,4445,1415
+,1704,7675,8978,6267,9961
+,7540,6405,1127,2523,2445
+,7043,1679,5234,4054,7561
-,6778,3385,9050,2931,5827
+,4899,7247,7816,4427,5465
+,9994,3145,4458,3950,8222
+,1771,8491,9506,8597,4725
+,3531,4138,1322,2669,2904
+,1409,4425,8671,337,6201
+,8370,4363,8962,8603,6961
+,1786,7705,6591,253,567
+,8058,4291,8116,7207,6230
+,7829,5401,468,401,4026
+,6441,9488,1981,7991,3381
-,7785,9110,2491,4309,2031
+,2595,3762,3265,6313,7916
+,1868,2685,1507,9035,1065
+,6431,6853,6267,7571,5517
+,1325,7600,9284,785,5924
+,6165,3801,1388,8245,4265
+,590,9614,8884,3954,7511
+,9177,6451,990,4269,5258
+,5101,8611,5043,7688,862
+,2741,551,8881,3204,2175
+,1847,3966,2461,4946,2871
-,3481,7542,6563,9792,6676
+,6483,9270,3488,7110,1953
+,8115,3163,8485,2884,3691
+,397,5989,3356,4329,9665
+,6990,9828,4816,5890,8385
+,9487,3334,9124,6852,8523
+,6928,7090,2969,8799,8048
+,8485,4450,2278,5675,8228
+,3812,6187,9206,7133,9066
+,667,1214,5662,5884,1860
+,7141,8405,9040,3257,4131
-,6808,6513,8168,4936,830
+,4445,546,4435,8695,7617
+,2495,2271,5186,1873,8432
+,6973,7649,8715,7445,6086
+,6906,4313,3914,3239,4930
+,9378,2398,561,6283,8657
+,166,9818,522,4059,3588
+,6260,1855,5553,8340,6504
+,8014,7624,1583,1215,5136
+,4564,5464,6769,5167,5620
+,3740,2619,8015,8689,3459
-,9760,3098,1002,2,8930
+,2783,9880,3485,1319,5058
+,4042,6082,6316,8249,4043
+,5094,7224,9154,7391,7391
+,5981,5789,5062,2314,6085
+,4806,742,7482,119,9241
+,9266,7745,2805,8266,2548
+,2426,9378,1120,5846,2423
+,8543,2682,9528,4499,2565
+,7878,8293,5015,1712,1054
+,2573,9985,4624,1170,2905
-,800,595,1159,6445,628
+,2067,2439,4712,6190,7782
+,2802,4151,5865,3476,832
+,9326,3348,2287,7895,4061
+,4990,5350,1684,6428,8941
+,2952,2627,5523,9292,9210
+,2555,8774,90,568,7623
+,2323,1118,8455,2073,1561
+,9122,3867,749,6955,469
+,936,5986,4727,3825,25
+,4349,1661,5349,2460,735
-,7647,7894,929,3011,4512
+,2580,6600,9916,9114,4854
+,7416,9246,5221,2713,9577
+,176,8162,9210,5765,4021
+,9029,3850,8339,5132,5025
+,2498,3493,8980,6222,9885
+,1852,7190,706,2992,3973
+,4152,1409,1659,7500,4009
+,9998,209,6931,5585,223
+,2144,1524,2089,2686,8525
+,5107,7765,5416,5038,1960
-,5018,798,6371,5420,8781
+,8460,7978,8572,6861,3407
+,8882,9277,7945,8655,482
+,6777,6267,5772,7490,7058
+,8117,6711,147,2794,1781
+,3167,7427,8402,2659,7466
+,244,438,7008,4360,3742
+,1731,5044,8821,7100,5267
+,4550,5243,7500,8252,8544
+,8707,2209,4741,8687,9531
+,5798,7128,3837,1184,6656
-,4559,1619,857,207,258
+,8449,8913,5162,5033,6430
+,3054,6391,2056,3934,9548
+,3106,1753,4262,2248,973
+,320,1639,541,8816,5106
+,2214,6011,9054,4123,5274
+,2590,6634,6883,7337,6691
+,4091,466,7970,1706,1000
+,5276,6713,6749,3796,6571
+,7819,5596,465,7697,1974
+,938,6506,1429,3740,485
-,7852,5228,5204,7227,4225
+,6407,8575,3459,7328,3416
+,6675,1234,5544,3271,3959
+,8548,9597,7185,3884,734
+,8186,6893,9010,2904,8344
+,648,1165,4362,9050,1766
+,9796,8039,8619,2436,7663
+,250,1269,9555,3032,1676
+,6480,768,3623,3034,6387
+,6821,6059,6449,4900,5109
+,6455,285,8559,448,5550
-,8707,2209,4741,8687,9531
+,9709,3692,6508,741,3450
+,2902,3945,2208,38,200
+,3214,7347,2383,3445,4709
+,3335,7876,8498,3165,9113
+,504,7406,7070,6733,6764
+,7104,9027,5747,9503,24
+,633,2511,3416,9698,7772
+,8805,4534,9697,2270,8927
+,5800,371,4961,4323,668
+,9401,7711,5322,9021,1692
-,4701,2810,5394,3940,4198
+,6645,7371,8962,5036,7186
+,3689,8864,7764,2160,8103
+,5308,7458,6760,187,2612
+,5421,689,4361,9968,2294
+,9288,5346,4944,5457,5218
+,2186,1124,1196,8939,2067
+,3018,3465,9024,1770,1334
+,6677,7068,7102,2334,7603
+,725,8215,5468,9058,9247
+,7738,8956,9970,5312,150
-,5421,689,4361,9968,2294
+,5510,3409,9615,7416,7080
+,9064,5823,6440,3978,3860
+,9821,2777,4602,7888,97
+,94,4377,9218,1523,7861
+,3839,8072,5929,3653,8326
+,8661,1601,8598,8894,3117
+,7980,5754,4461,9964,954
+,213,449,6315,3375,6022
+,5835,5254,3482,6730,9243
+,6252,4819,1756,8147,1208
-,3586,388,2729,1327,8230
+,9058,1218,2449,8928,4230
+,62,5814,8703,2528,8886
+,3754,7186,1458,4057,5735
+,7674,7878,1531,7606,1692
+,9833,5217,7921,2802,8782
+,4902,5163,504,8524,3711
+,1994,9510,7502,680,8821
+,8422,7257,277,321,8248
+,6041,5105,5441,9036,833
+,4921,4164,9676,8025,9475
-,2555,8774,90,568,7623
+,6787,6922,4626,7162,9889
+,9053,6317,3763,4460,2083
+,4790,3927,9119,3488,5040
+,3615,9355,1737,7354,1606
+,8151,3912,9539,9268,2485
+,4437,5606,405,1508,8275
+,8748,701,9823,3219,7671
+,8765,6825,1720,9558,6460
+,2939,3293,4363,1169,7457
+,8419,8171,8265,2658,6681
-,5898,655,6151,59,8259
+,3949,2833,1284,3715,7751
+,7235,2414,2009,7696,85
+,6201,3938,877,923,710
+,8096,661,1538,3638,5740
+,8358,1416,5646,5609,8466
+,458,6953,4390,9160,9981
+,4914,2451,124,5307,7837
+,4557,8701,8512,7969,9851
+,6876,1708,7049,7139,5843
+,4937,2914,1871,6378,9358
-,2304,9502,7103,1150,3004
+,2774,2692,9905,4279,1193
+,2523,186,1244,8596,9640
+,7151,8725,2164,3761,2690
+,1470,1206,3087,309,6579
+,7448,4734,1403,1216,860
+,294,1691,4395,5775,8360
+,2610,2174,2031,5077,8273
+,3706,9903,9392,2114,7369
+,4323,2952,3950,3160,9863
+,9464,9567,7883,2861,4784
-,8751,7255,5051,1406,5344
+,3027,8092,9572,8913,8895
+,983,8938,2888,7193,2091
+,7363,191,2776,1693,8322
+,3285,8293,8622,3111,6576
+,681,1915,1819,5686,1645
+,5109,5476,8447,2260,5231
+,7908,8864,4524,5540,1210
+,9298,5110,6835,7925,6206
+,4940,7380,6979,48,446
+,1305,285,166,8511,3758
-,3689,8864,7764,2160,8103
+,7390,511,1214,1688,743
+,9551,3590,9422,7046,6630
+,4132,735,6184,396,5335
+,8362,9804,4722,1180,4282
+,8379,4381,2146,5008,9763
+,3976,9374,3693,1587,7637
+,4992,5345,8984,1060,5546
+,3936,8719,9080,2275,371
+,2790,4354,1960,4455,2233
+,9537,8445,6519,1243,4372
-,3167,7427,8402,2659,7466
+,2625,5155,8288,4263,5484
+,508,778,8026,3298,146
+,4700,6959,4300,1325,2175
+,3774,9896,2170,5873,6031
+,4646,1526,2653,6471,8565
+,2835,5988,6898,4541,7491
+,7478,4112,4466,4923,558
+,2485,5051,9093,2103,8936
+,3785,5381,9752,2058,7850
+,418,4997,8265,1981,1922
-,9212,3016,263,8265,2509
+,4249,7011,8646,7562,2519
+,5196,1504,8501,9375,2794
+,7190,4397,2069,6718,1107
+,5748,5858,4092,2512,9494
+,9323,2785,3015,8326,2328
+,5530,9362,4570,7712,4864
+,5656,6128,8949,1645,9870
+,4958,7262,1119,8835,9750
+,6198,3437,7866,7701,7146
+,6843,8041,1740,2722,3839
-,1718,7204,2173,2200,9966
+,8624,85,3541,5353,5914
+,7242,6497,5474,8473,1533
+,9768,591,7873,244,7181
+,2836,7545,3859,3811,4349
+,5303,2625,2037,4377,2582
+,9010,530,7570,3496,7943
+,4946,290,9659,1403,3295
+,3434,6283,8338,9335,8088
+,7268,3854,7335,2534,2977
+,9695,2495,8140,8306,225
-,8699,9451,6017,3490,7767
+,6481,7469,6015,9224,6538
+,1625,2974,214,3450,5154
+,545,2401,7172,8800,1265
+,149,9206,2861,7046,1211
+,7486,2226,8976,6325,6492
+,7751,6668,217,7895,5598
+,7556,7201,8308,4448,9496
+,4907,6664,8881,5072,8059
+,1354,6180,1512,3680,9183
+,3990,7938,6656,4046,7267
-,7517,7333,9794,8498,5109
+,6028,6212,7347,1639,3135
+,8867,3764,120,6196,4519
+,49,9676,972,9913,9498
+,8540,5585,6141,5177,4132
+,7083,5540,9329,7815,3912
+,9293,4418,9170,3598,6866
+,2931,8418,8705,3957,6457
+,4118,5004,413,3352,7936
+,9083,1592,5240,793,1580
+,9787,411,8684,1987,5014
-,9288,5346,4944,5457,5218
+,482,5543,1065,6023,3398
+,5788,2133,7568,9278,2851
+,8310,8586,7503,5964,9224
+,5469,8460,3077,1389,7792
+,4692,9651,2390,5613,197
+,3016,967,1891,8281,2373
+,3361,7563,6440,3233,529
+,5881,5156,9891,4562,9815
+,3507,9922,5750,3016,5224
+,2621,5343,3277,2958,705
-,8193,6915,7641,744,1210
+,4085,6457,7676,8580,818
+,1651,8382,4407,1843,5434
+,3674,3780,861,5257,3988
+,8606,6090,8800,1388,1267
+,2428,6990,8829,8960,3731
+,3305,6284,4877,1936,895
+,543,6971,3933,1716,330
+,5915,3162,9307,6384,6753
+,2734,9657,1031,8944,2961
+,9297,3735,4249,3043,2568
-,7244,9852,1834,9286,7881
+,7056,1756,4163,8338,2570
+,9699,5267,2325,124,2551
+,1310,1173,5033,8383,9545
+,6033,8315,5230,8421,2290
+,7930,3340,6250,6401,5757
+,1698,3788,8910,2170,7270
+,7770,1750,1098,4918,4069
+,1887,8283,5547,893,8359
+,1254,5646,6339,8507,9149
+,6009,119,428,754,7315
-,5094,7224,9154,7391,7391
+,7421,26,4034,9637,1405
+,6237,341,7874,4677,835
+,5850,9018,6129,7331,7416
+,1384,1295,416,709,4277
+,4669,5098,1870,8062,2393
+,5384,6201,5613,5575,3147
+,8383,4343,810,56,8936
+,2782,3142,7707,8483,6871
+,7851,3799,9368,9803,7687
+,1912,3500,7261,983,7009
-,3943,3620,7076,4367,1682
+,5950,4209,7537,9243,8814
+,7633,6168,8823,6955,5391
+,4521,163,8767,4604,4135
+,76,43,5572,9003,9364
+,4602,4131,9413,7057,8333
+,8316,567,3599,5308,5284
+,4867,8553,7639,6599,8896
+,4931,9517,9579,4147,568
+,6248,1000,3609,3860,4289
+,4276,6610,7351,1657,373
-,3361,7563,6440,3233,529
+,2458,204,2695,7623,9169
+,5146,4158,9989,1578,7317
+,680,3564,5405,7759,3252
+,3478,4200,7998,3767,5124
+,7031,5279,8009,6177,7917
+,4925,9954,9575,9427,228
+,1562,1074,3142,2913,7960
+,2404,6399,7292,1691,6
+,984,6185,8715,6856,9394
+,3704,6795,1169,6742,6264
-,7235,2414,2009,7696,85
+,4659,2998,2793,1301,152
+,6159,2830,460,2275,7428
+,7551,7935,1532,650,2289
+,834,4371,8170,741,7141
+,2300,4785,7040,927,8404
+,1568,8490,3362,1221,1988
+,1970,7353,4565,5695,9
+,1760,5756,7141,6343,8899
+,4051,6108,7245,285,3081
+,8345,3165,2410,4620,2217
-,309,1122,7028,1445,6874
+,7027,1958,6202,807,2347
+,8475,4797,7815,6734,1406
+,2299,1974,9572,8238,2530
+,6647,5646,9807,3704,5263
+,6369,1660,967,1226,8664
+,5310,3106,7392,9487,845
+,3353,6515,1627,2762,6923
+,3032,207,4529,7166,249
+,1837,8724,8967,9476,2640
+,4377,855,5608,8478,2596
-,5075,6259,8367,2006,4945
+,5186,1923,3071,3012,9213
+,2182,1051,2130,2628,5263
+,4927,2799,8616,779,5616
+,1873,6226,2855,3032,9513
+,3997,6192,4650,3008,1185
+,8910,7379,2437,1733,7316
+,9433,7051,3072,2592,8882
+,4498,6585,5671,6730,5670
+,3789,6200,496,7414,38
+,1854,1544,8026,8878,6593
-,4930,4464,7008,5722,6930
+,4153,3671,9965,6742,1775
+,3294,3176,3116,2942,6717
+,8075,4066,7768,3961,5382
+,6484,4690,8249,8826,3634
+,5519,2426,1449,3509,7929
+,9802,5536,1151,7013,8065
+,1792,4872,4485,5789,2100
+,9918,1790,3433,9879,7989
+,4358,5094,5892,741,1332
+,1620,2167,160,3983,5696
-,7104,9027,5747,9503,24
+,8739,8703,5802,7156,6383
+,4460,3862,7504,2409,5010
+,6695,4518,627,2602,2169
+,1308,2525,8183,8156,9688
+,2567,6862,6749,6772,9402
+,2704,423,1077,1843,686
+,4679,5039,1058,4399,3172
+,9111,306,9405,7713,2270
+,5909,3570,6029,2593,5923
+,7243,8015,2168,5701,7423
-,5846,6408,4170,7738,44
+,6704,1354,1807,3184,5146
+,425,792,9186,6954,3519
+,9586,9175,1141,3373,1197
+,9485,4347,5951,6761,3899
+,7867,8275,1621,8822,1875
+,7827,7312,4635,2404,5654
+,5792,1121,280,625,2258
+,385,3104,220,7629,6418
+,1931,7562,3764,5739,2899
+,2848,4193,3663,7803,1300
-,5800,371,4961,4323,668
+,8219,3519,7762,2406,3409
+,2717,7431,9776,492,8267
+,4538,9369,5820,9318,8108
+,9868,9244,9476,9506,6879
+,7442,6380,3604,8335,5226
+,9410,3627,4256,6390,1307
+,7877,4297,8949,441,3988
+,2753,7364,4238,2372,7122
+,5511,1230,2237,9599,9688
+,5474,4244,4318,1936,9411
-,5276,6713,6749,3796,6571
+,9995,3506,6374,4741,114
+,3987,1846,4314,7261,4994
+,4675,5657,3903,4773,3100
+,1680,3441,1112,5498,9079
+,6855,3275,3431,5954,2127
+,43,7690,1123,3870,5258
+,7379,8880,8762,9821,443
+,1631,4902,1542,1920,7765
+,8313,6618,6319,390,5577
+,5839,7680,3777,1002,4450
-,3394,94,2027,1278,8902
+,2098,817,2321,3774,1343
+,2433,6772,2751,6197,8219
+,4989,2438,9706,9878,2270
+,4187,6371,1182,8200,4907
+,6347,9307,2833,1073,8019
+,7124,8758,8287,5717,2415
+,1499,3427,3161,2650,4045
+,3825,5424,9660,3555,8424
+,999,2120,3736,8296,8628
+,2974,5021,8940,7383,6479
-,2249,8887,7448,7617,6785
+,6967,2411,9444,9825,7256
+,6202,2603,6672,502,7820
+,5257,4427,4112,4095,3788
+,8773,554,833,5290,6338
+,658,9353,9023,5161,6794
+,3328,1321,7641,2213,6150
+,701,5222,9064,428,7511
+,1840,9954,9762,3073,409
+,1746,8731,1184,7503,8603
+,8785,3601,5111,5244,3362
-,754,7979,3866,4940,6507
+,6732,28,3320,7440,6621
+,6100,5297,5538,9869,7361
+,3767,4295,2467,7445,8407
+,7949,1242,353,966,759
+,4544,3218,7637,6854,6405
+,4145,489,4707,5134,3693
+,896,2801,6783,270,8120
+,5960,2055,8581,2727,217
+,4711,3372,7750,7309,4651
+,8351,9019,4361,3824,3006
-,7633,6168,8823,6955,5391
+,8493,5836,7795,3788,264
+,5554,9821,7261,7170,8216
+,9328,4275,8657,6096,139
+,422,4801,9386,1614,9334
+,1111,8209,540,8203,1291
+,3401,6081,1940,1726,4056
+,2871,1075,1405,281,8669
+,2079,2841,2594,7836,4732
+,8696,1828,9433,8333,534
+,7766,2262,3294,3218,9637
-,6579,7943,9532,3006,8014
+,2201,9478,9471,9866,7154
+,1934,2600,1475,2550,5905
+,734,8558,1595,2264,4399
+,9895,1544,1880,8596,7599
+,1710,4435,734,6548,2857
+,3288,9430,3212,2038,9389
+,7900,8245,8565,1164,3606
+,3773,8145,7206,5527,2716
+,5618,5164,3556,1903,5530
+,6382,3587,1725,7539,121
-,126,8147,788,8577,2656
+,8375,4159,3775,3540,7592
+,4356,1161,7216,9520,9511
+,9810,2710,2267,7874,8607
+,1935,1795,8655,280,8722
+,6078,446,7148,6688,8124
+,2221,6090,8053,2148,776
+,1014,4660,6265,4301,4252
+,7675,4354,7433,2727,4025
+,3443,1043,95,8459,292
+,9716,9881,3277,1208,9511
-,2498,3493,8980,6222,9885
+,5926,3705,5609,9912,7267
+,5071,7252,3217,2204,497
+,8131,8278,3144,5576,4048
+,815,3096,5770,642,603
+,2653,7254,3631,2247,8089
+,499,5320,652,5291,5906
+,5304,8015,6348,6857,5112
+,7750,5755,6462,6529,2915
+,7822,7213,6067,3104,1792
+,3404,9811,7976,1149,6800
-,7249,6356,1704,6096,4001
+,7537,2396,4146,1925,5014
+,2532,8252,2268,7677,2853
+,2900,8292,3374,6930,5846
+,7812,5974,2552,6386,1637
+,3521,3604,2188,3121,2878
+,2455,8529,4347,5188,2095
+,4762,2273,8232,121,7696
+,2798,7588,498,2358,6875
+,881,6638,6444,1610,1314
+,7631,245,3186,5724,5426
-,7124,8758,8287,5717,2415
+,9363,1903,771,8624,144
+,5401,3251,1087,5906,1340
+,4508,9149,2731,2279,1667
+,3722,5059,2038,4437,2055
+,3925,7840,1306,4918,9719
+,6915,4382,4523,6575,36
+,174,5497,5820,9153,4729
+,3854,8743,6389,5905,8455
+,3375,8781,9708,4193,1194
+,5902,3468,7077,2406,4506
-,6743,6953,5963,7698,4863
+,8569,1114,455,2216,2212
+,8824,5182,9073,5527,8058
+,1573,6625,8188,6849,1825
+,4034,2175,7293,1825,3620
+,4401,5533,1022,5765,110
+,7307,8653,8495,2742,9437
+,2606,4679,3372,4972,2840
+,4425,1960,7442,5376,9367
+,9025,3585,5900,9474,1383
+,3844,5303,157,4179,1357
-,1786,7705,6591,253,567
+,6670,6063,1283,1013,6779
+,3661,1725,3498,8989,9506
+,6550,6283,2338,5304,1874
+,4086,3477,1660,4269,9648
+,3034,2559,5193,302,7802
+,510,1313,4559,9333,5058
+,3014,4192,5306,5496,9131
+,8169,1276,406,8997,822
+,3547,697,3931,1488,257
+,4717,6952,2636,8403,3968
-,4739,1277,5107,3115,2693
+,8769,3484,1651,4667,7363
+,7156,4355,3008,7402,19
+,674,8372,6905,6870,8528
+,9078,2419,3974,489,1202
+,7217,2880,7139,1800,2940
+,8822,293,6993,1431,7338
+,3352,5958,5780,9939,9227
+,7285,8270,8857,8883,4035
+,6173,1993,2026,2141,8974
+,4489,391,1007,5179,1317
-,766,4909,9216,6747,1325
+,6984,2581,6663,4175,5784
+,9816,2150,1854,725,9974
+,1316,1030,682,4299,3373
+,8927,3389,3370,8358,3642
+,2736,1223,5679,6538,6212
+,2842,2520,7306,3304,4308
+,3589,9232,6894,3148,3612
+,7376,7015,6025,8120,2977
+,9180,1994,4078,2364,5236
+,1612,7991,7710,6582,7652
-,1896,4051,546,4271,2957
+,4566,5635,3794,7360,9286
+,8683,551,8076,4558,4409
+,3322,3778,7019,6193,5360
+,3618,4138,7434,8795,6078
+,1881,3849,1472,6682,848
+,9965,9696,4742,171,761
+,7769,6282,8118,8675,4257
+,7561,5901,4202,5218,5206
+,6571,8046,5365,5930,4172
+,5539,5064,8743,3811,9506
-,5311,7534,671,3474,1502
+,9218,5261,7378,1305,8049
+,4784,8168,3850,8963,4513
+,8121,7138,548,6436,8148
+,7581,2618,4678,7633,9941
+,9764,2871,6985,2256,59
+,4156,4026,6116,3151,6843
+,8873,7784,3003,9551,3730
+,6194,5313,7728,2443,8298
+,1523,483,1418,2289,6975
+,4260,1865,6227,560,8079
-,458,6953,4390,9160,9981
+,7071,2222,3933,7276,5283
+,5569,9381,9175,1474,160
+,6903,6150,4787,8336,1705
+,8404,6691,9326,4749,2539
+,2708,8880,839,1846,743
+,1978,9880,8174,5232,91
+,1516,528,5625,6859,447
+,5454,4047,5044,6523,188
+,797,5328,8591,9367,1887
+,9161,7016,1763,7842,1933
-,9802,5536,1151,7013,8065
+,1023,9650,6019,4544,5617
+,4183,5253,683,5407,3419
+,5799,3298,1471,4396,167
+,4478,86,9987,1208,6236
+,6600,1760,3396,5705,1740
+,1647,1367,7996,3181,1788
+,6312,5553,2883,5120,8463
+,5434,4231,1566,6524,1008
+,8229,4911,6268,8831,8982
+,9205,6299,4663,1922,9994
-,6990,9828,4816,5890,8385
+,5345,7026,2812,1688,5388
+,5670,7743,6588,4438,4626
+,7879,5049,9875,4398,5566
+,208,7405,343,2729,4252
+,9077,9601,8031,7490,9674
+,223,2793,1913,2162,7700
+,1830,6704,29,488,6661
+,4163,4798,5222,764,4584
+,5331,5459,1968,2775,6477
+,912,5393,8813,7217,8687
-,585,6294,552,1457,67
+,1520,6837,720,7501,7241
+,6551,8328,8604,877,4372
+,3237,7481,4546,9014,815
+,3652,9768,5842,4975,5442
+,6069,1044,6847,8679,4743
+,7171,1092,2431,9493,2204
+,2592,796,6114,132,7785
+,7080,9095,1075,842,7034
+,6046,2707,3044,189,6628
+,6725,4452,9535,2760,1426
-,1568,8490,3362,1221,1988
+,9454,1,7810,4224,7352
+,4879,197,2139,2034,5316
+,5346,341,5190,9650,4071
+,9545,6353,8094,754,9159
+,4220,1554,660,8679,132
+,3185,3241,5823,2493,5861
+,4430,1854,9483,2056,3895
+,162,8310,6385,2895,4527
+,9812,4693,8087,8304,7184
+,5496,2987,8445,6973,3935
-,2472,5606,794,8326,3538
+,3841,7943,5567,9973,9328
+,9829,1127,4194,9351,1567
+,6109,9365,7889,7911,5791
+,50,8883,6448,3918,7967
+,1807,2341,7982,1090,8759
+,3744,1389,5622,5694,3249
+,8250,3816,2732,1900,9086
+,4707,1577,2438,6509,4656
+,2585,507,8515,6403,526
+,4474,45,3746,1787,2193
-,7900,8245,8565,1164,3606
+,6625,4334,3825,8944,7944
+,3146,7242,3908,6281,1116
+,2174,305,2309,4261,3880
+,2035,6771,1750,9296,5603
+,8487,210,3475,6850,8637
+,5523,4586,8562,1028,2495
+,2173,6906,1873,5102,7654
+,4282,7395,3592,4230,8227
+,4492,7727,4292,2356,3344
+,8427,3988,7770,4571,8757
-,76,43,5572,9003,9364
+,3624,4562,7493,9360,6040
+,5538,9679,7551,6118,4542
+,3003,983,2533,6809,2894
+,8612,8841,8621,8931,3377
+,1779,6295,8535,1984,9139
+,5251,7833,2274,3035,2301
+,638,2298,8215,5617,4046
+,5077,6170,8552,929,9584
+,9974,805,251,9234,3001
+,1259,3227,9208,4427,2206
-,7631,245,3186,5724,5426
+,2549,2152,4456,3005,4444
+,2577,5894,4956,1246,5501
+,9185,2453,7520,6749,5851
+,7619,3205,6446,466,4560
+,6206,9664,1045,5432,4839
+,1513,611,3060,7022,9654
+,3047,1315,3469,858,581
+,3633,5773,9492,8808,7220
+,7408,6319,2493,2614,9247
+,7177,4220,4457,8871,368
-,5277,2321,5201,437,9712
+,536,4468,3834,9146,1423
+,9609,2658,9276,3853,506
+,8703,5897,9963,7337,3825
+,8111,4290,8437,6325,8438
+,3801,4811,372,5160,9971
+,6146,7505,6287,5922,3691
+,2286,5194,8574,3393,5958
+,2934,1797,7709,384,9757
+,1509,7926,1424,9986,9293
+,5023,9450,8612,5472,9847
-,562,9767,5236,6046,2086
+,9194,8931,7463,6839,4401
+,865,1861,5224,5807,721
+,4352,8526,605,5559,6662
+,4036,4241,9255,2457,2199
+,2358,801,9175,3121,8377
+,1081,7807,3503,2611,643
+,8410,7982,5096,5922,5092
+,4370,4517,9107,6887,4974
+,9977,4834,5237,7513,1020
+,1794,9863,5702,500,8443
-,2433,6772,2751,6197,8219
+,2880,6789,4329,5002,1760
+,9208,7178,6636,1462,8718
+,4740,8217,4229,2042,3873
+,7566,3073,5800,8783,1327
+,3270,9696,4755,5217,8218
+,751,9673,3374,6744,7331
+,9247,1943,4323,7282,994
+,7891,1382,7598,9608,894
+,1761,5831,8671,2554,7562
+,7763,8396,889,3280,1287
-,8293,2648,906,3589,1402
+,8995,1118,3049,290,6397
+,1403,9745,5240,617,310
+,7422,3030,6967,5168,6965
+,9771,2404,5190,6657,9229
+,5814,2821,6730,1991,2620
+,9252,9696,1030,6672,6395
+,2598,7476,6963,3754,6440
+,9643,8458,2508,688,7564
+,1769,9267,3447,7071,8024
+,1453,8420,5900,5966,5593
