OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20
+,3709,1696,2584,2747,3507,4913,3172,8966,7217,5433,5855,3042,2234,4686,4603,2098,9475,8580,4482,234
+,5713,708,4838,46,8109,6525,7306,9049,4927,2609,6653,8757,8775,5268,5013,7830,4741,2271,7838,2108
+,1428,4826,1452,6645,5094,805,3033,8541,2638,5290,5293,4951,1202,546,8659,1425,3275,3351,8205,2322
+,4183,1274,2248,8000,4319,2044,9960,5594,7675,9956,1218,3491,6368,834,9301,3864,6700,130,4839,113
+,6459,1875,3745,4943,5460,7277,4557,9274,786,6617,4575,2162,514,1937,1522,4962,8667,2801,2487,5072
+,9354,3261,893,1440,5675,5903,5058,8813,2817,7841,4773,894,1508,620,2022,8657,4796,8956,8633,3516
+,1605,6783,4775,5011,3690,3266,5254,1201,8239,3181,8139,747,7489,6359,9880,5836,5276,7261,6494,4119
+,1893,481,745,6002,1192,3833,2616,8077,3135,3381,141,1808,2566,5261,9022,3362,601,1154,3117,2813
+,8078,2636,3189,2777,4613,1997,13,4131,6337,2106,2072,4801,6540,5100,6945,8742,7143,8104,9689,9774
+,3783,5093,6397,7939,30,8299,6987,7724,9086,7559,8181,4634,7292,6680,4610,4643,9213,791,5424,7747
-,1621,1754,8643,6514,9846,5537,1077,6706,878,9832,9730,4620,1365,9087,4629,6684,3320,4837,3280,8533
+,3057,768,5936,3765,3494,8167,967,6603,7672,8831,3501,1626,6646,4047,2201,5245,2504,2862,2514,4909
+,4019,3896,1188,2212,8867,2522,4222,5524,8410,61,481,4800,8689,2490,7850,2852,3726,229,9615,3652
+,3466,2342,8038,4205,3041,262,4156,7219,3051,5216,9851,4942,5330,5146,4513,983,4299,3531,795,5825
+,873,5643,5884,6456,201,5621,2972,1165,3360,2474,7417,5704,2386,7680,4441,2790,7948,8007,2230,8562
+,4070,3376,2973,5525,1136,1318,465,2046,2417,4610,7334,3180,3954,1204,8425,6346,6758,5465,5484,5324
+,4729,978,5434,6463,17,2777,9271,3433,9830,5007,9982,4140,3727,5920,2747,2204,3037,6306,13,6111
+,7265,6909,9695,6447,4249,7541,270,868,6791,8375,6461,6322,9719,9920,1234,3668,9036,4300,4748,3381
+,9053,4416,62,8669,1352,893,6134,7936,6490,7134,9826,450,3691,1569,8019,6423,1980,8083,1297,5989
+,3792,4881,4846,2861,9372,6464,1832,9458,4121,1053,4898,8891,2906,5020,5195,3347,442,454,9472,2053
+,1995,4540,660,3564,6944,5540,3489,2555,4827,6844,6040,3973,5117,5840,4935,2025,7575,4613,1065,3844
-,8398,8828,137,3431,6050,1296,1201,1137,6503,1068,442,1561,1689,358,9634,7542,9810,251,252,289
+,8872,9995,3970,5817,5311,9795,9347,2669,9237,9215,6759,7987,8948,4158,3537,3963,5440,3987,6678,7543
+,9054,1060,9765,7247,8163,2998,5049,7423,2032,8622,8625,3435,9744,2812,9272,8892,9155,3215,4367,748
+,8832,2917,1013,6866,6125,2783,999,2514,5112,9277,8301,3917,9809,2743,695,1235,541,6745,7353,3281
+,7560,4368,6938,9099,355,4004,2492,4245,6191,3937,8486,1097,6686,9704,2551,5281,3535,8380,5473,8683
+,327,1492,1788,1890,6979,4692,6825,7261,2174,1247,8063,4953,8400,7874,2359,5923,8569,4357,4075,2429
+,3788,1645,5647,7128,7995,2775,5975,5835,7498,1406,7917,1949,2051,6789,5986,4603,8027,7091,9397,402
+,9518,2513,784,5066,6821,820,7543,3192,7124,3034,8074,9833,1363,8695,5592,6517,9906,833,1391,9961
+,9955,1890,1694,584,843,5760,1405,6927,9200,7979,6119,2753,3697,7102,7934,198,1204,3754,2401,998
+,1462,967,560,2007,6886,8350,8951,2180,3027,2481,8013,7049,1250,4918,4028,3904,6481,9716,6886,9865
+,9654,2470,2600,4952,5408,7666,724,6210,3729,7471,1283,9008,99,9174,1571,1927,5552,3953,9450,1986
-,5472,7651,3195,1097,9448,2874,1181,262,8669,3737,9320,3981,1126,471,9735,4213,2179,8469,74,6306
+,4104,4684,743,5960,2511,2460,2806,3950,4005,3152,6759,195,8840,3789,1230,4040,624,5040,5255,3675
+,3721,6837,3488,2294,3556,7961,4727,6025,3947,5368,1408,8789,8290,5361,657,1394,5404,560,1784,1037
+,8201,1377,5106,8626,4225,4683,7849,2380,8427,7154,9931,365,4466,5508,4162,1858,7916,5011,9250,9443
+,4507,2271,5244,7387,8594,2004,3660,5067,7198,2702,7676,6347,7067,6344,2977,2156,6144,5211,7996,9500
+,2086,9936,1281,7941,5829,1586,6031,531,1861,653,6309,545,1000,5379,3351,4932,9755,4666,3934,3330
+,7492,1946,2691,6162,6267,8087,8913,8346,8889,3707,7302,6746,6324,1910,9519,4371,2818,1429,8525,7338
+,6493,1553,1895,1224,4858,5236,7995,207,7161,506,1231,1743,2408,5162,1008,8680,2652,3912,3515,2345
+,9967,1899,8596,5893,6348,1108,5670,5822,1514,9908,1286,6465,7881,3870,3262,7094,9971,9654,35,8153
+,7341,1096,397,1111,3272,1444,8332,7355,2103,3009,5751,5501,3732,6004,6352,2183,2514,2959,6884,5880
+,728,8797,4808,8785,6438,4311,8633,7224,9802,2806,6727,3926,4820,792,6928,9921,7363,3658,887,9356
-,8191,6241,2431,1718,4712,6809,9076,6619,6511,7481,2538,6483,3529,4362,1495,7278,6600,5921,9177,3920
+,5292,3836,8679,4615,9234,7280,2522,5042,3323,987,1569,7669,1196,9220,9266,7402,2919,3446,680,3465
+,5460,3927,4490,380,9294,2017,8988,9460,6411,8755,5627,8478,8807,1075,6211,5478,6853,4201,8435,5611
+,6434,1501,9244,6144,6306,9125,5396,7331,6143,6174,5836,5921,5944,4239,3241,9580,4251,3466,181,2486
+,433,2941,5251,6461,7561,3779,6329,6399,1148,7468,9768,3274,2916,8459,9194,4675,5748,4843,8226,8471
+,4510,7431,7438,5346,5621,4250,2268,6384,4368,5343,6880,7033,1252,9389,9714,8531,5563,2874,4074,6598
+,550,6090,2788,9497,7361,4688,1983,3017,3820,9248,2126,4683,145,880,7034,200,5662,1776,2434,2580
+,4074,4579,7404,3022,156,8646,4670,6444,1431,7091,4834,7570,9795,5466,2344,822,3002,2871,2365,7821
+,1672,7621,1856,1218,9667,3811,5111,1164,7009,3694,6102,7979,2180,4808,9221,292,3487,2370,658,2844
+,9294,4178,6751,1365,7415,9397,5224,9833,1677,3406,7274,499,773,6008,2559,444,9966,6153,1436,9712
+,8151,4990,9553,4132,6799,5575,4030,4842,7717,6413,9478,5452,329,3086,9255,6681,4789,8148,3086,2499
-,399,6792,1263,6599,8628,8597,6813,1119,2175,3946,2318,8987,6866,7132,6500,4383,3196,3706,2086,2878
+,6464,1859,5902,1768,9279,1119,5867,2649,8035,4400,8263,3130,4975,3419,2926,372,15,7491,1720,8230
+,8227,6823,7625,8000,9462,4408,4730,6480,739,848,3524,5008,5188,3941,2328,1852,664,5062,6167,4054
+,2723,8281,7980,8371,4274,2450,2744,6768,7301,4902,9126,2461,7449,2487,8423,1692,924,1222,7856,5996
+,5860,1294,2566,9772,3992,664,1973,6192,8964,9840,2503,5984,8494,2408,6393,3615,8953,1408,4906,1523
+,7078,5173,6610,4628,1914,1107,5665,7471,483,6664,6892,931,4524,1553,278,6025,7796,4169,1295,1349
+,8067,3098,9210,7530,2692,8330,9172,6096,6069,9682,3530,6071,7227,5733,161,9021,2,9909,5031,7043
+,4746,6835,3298,1109,7093,9500,7129,153,884,1725,1261,1890,3752,9768,5376,3052,1085,7735,3554,1078
+,7979,9474,6131,617,9636,9737,7261,6864,8226,6690,3301,8763,55,3149,4017,6502,9614,8108,6445,6199
+,422,508,8026,4996,99,3486,4803,6927,8116,4099,2403,1474,4033,8708,3687,4299,4852,6890,9222,4784
+,1892,5992,6879,6391,9349,1765,3822,8646,29,9783,6375,6112,3064,2489,8912,8095,8638,7208,7042,7392
-,4749,1755,560,5535,6583,5534,5485,2851,3785,7852,154,343,9078,4074,90,4292,9619,6035,821,7247
+,8320,9467,5734,1148,5032,6808,1661,6761,8152,2361,8829,7746,5209,951,5000,9830,4194,2028,8664,1890
+,1151,1233,767,1086,6182,2446,4552,6709,2869,5377,5551,9951,474,1109,2453,3910,5389,8099,4853,841
+,9691,6431,2067,9754,9024,2003,8267,5506,802,2218,6771,4823,1682,9302,5621,5207,6252,5384,6825,182
+,2622,8523,4007,4395,4011,9966,7510,7922,1452,5436,9506,4395,973,9963,730,4294,7020,3661,9425,304
+,232,931,4659,1844,4584,7246,4405,6580,7972,4412,4885,7168,8871,7247,5006,8585,2383,7789,8359,5265
+,9097,9396,8799,6791,6736,4229,5908,3592,8311,8324,8673,515,6327,7423,3622,5566,9999,2600,676,1439
+,3782,6350,5893,1629,5441,1141,4103,9257,3051,3957,5707,1100,6361,52,7693,7702,4815,5216,9061,8591
+,1035,7703,6301,1052,458,6486,9112,3866,8730,6629,7937,7770,1558,1253,9712,9635,7317,2934,6499,8030
+,918,7983,7905,6713,1930,4139,9524,6185,6379,1018,4143,8648,7464,5390,6603,148,1766,9359,9940,9874
+,5529,2869,5048,700,6671,6100,6691,1352,1479,1131,60,4232,2122,3956,5614,8605,469,8211,7887,1824
-,2631,4566,9777,6532,5635,4830,5723,8841,3607,2527,5844,175,5467,7868,346,4871,4787,9398,1341,9775
+,2742,1,1342,9485,5127,1176,8195,4234,763,8384,2239,2412,1932,7536,3387,214,921,5684,2956,9458
+,2470,8248,4656,9875,7893,6921,8308,1137,9116,7510,8494,4870,9931,2263,606,1665,138,1436,6716,1651
+,9941,6913,7096,9473,3054,5556,433,6954,8918,287,3612,7036,3968,2752,3622,1765,6066,5017,8836,375
+,9949,4427,1318,9781,3105,266,4427,6932,6014,2569,8863,6432,4852,1681,9426,2314,2474,7965,9641,5434
+,3712,5128,7174,7346,8148,1011,2253,4909,9199,4173,1546,5723,7644,9516,3244,5190,6359,7686,8650,1677
+,163,6701,1361,571,2963,1503,1612,1302,9502,1196,3209,9538,5841,4759,9225,2940,6370,4101,3087,9265
+,5286,3069,5296,2298,7724,1171,7788,4445,2675,4837,1163,9648,7924,8215,626,7926,5517,5441,3923,3393
+,7714,4925,7393,3957,3115,5385,9094,4493,9027,5879,331,2492,3415,815,4361,3114,3533,4457,4221,904
+,3647,9051,1775,6217,4094,3468,3765,9545,7058,2712,5842,3953,5556,7120,6034,3457,6737,5136,1949,5744
+,8902,8410,4293,2488,422,4743,2171,6311,5858,5104,7584,7437,897,7636,1896,6034,749,8371,4670,4259
-,9097,9396,8799,6791,6736,4229,5908,3592,8311,8324,8673,515,6327,7423,3622,5566,9999,2600,676,1439
+,7612,2456,9738,2857,7427,8066,9194,4775,5399,6268,378,4290,1798,6097,7246,1943,4151,3779,5561,9893
+,2084,115,2700,1798,6972,1717,3499,8970,1533,1807,25,3467,9830,1048,7946,880,7287,5952,2323,9390
+,2565,4186,6629,8011,9984,6103,6032,5075,8478,1370,6342,150,9996,2964,4027,1724,6758,7979,2333,5709
+,1881,9628,3925,8877,3706,8183,8381,4326,5475,4439,2876,840,6128,2094,7415,7491,3422,6558,3668,195
+,6697,8038,3002,881,1557,6959,6387,8378,7462,1778,6860,3787,1899,6910,9035,2724,7868,1669,8858,1915
+,6990,6621,6895,6000,3652,7712,8387,8161,1355,3035,8195,6352,2140,4789,7570,9190,6693,7740,3039,6456
+,3048,372,5784,8633,3330,5268,9433,866,1751,2987,8286,8219,4151,8317,3787,3621,2583,6208,249,9008
+,2968,6516,7923,9055,3549,3102,750,3032,8280,7130,758,8085,9919,2115,4951,3366,9756,9056,4825,2438
+,7383,3928,8875,6330,5547,5646,1456,4899,2097,8626,5209,2778,7332,6134,1894,7104,8953,8550,1711,1159
+,4984,6832,9834,174,7740,3452,252,1370,9714,2591,7160,4388,9018,1435,682,9319,2177,7794,6853,134
-,9654,2470,2600,4952,5408,7666,724,6210,3729,7471,1283,9008,99,9174,1571,1927,5552,3953,9450,1986
+,5634,1681,5274,3613,9524,1109,1168,5531,5719,4422,265,6187,3225,5166,7683,3429,5163,4378,1297,237
+,1375,3273,8725,6437,9251,4744,9213,3048,2883,1812,4897,6418,7326,9036,6280,2889,3407,6870,210,7375
+,6375,9034,9425,7872,3374,7585,2782,9995,720,8146,5552,3126,5222,7626,1409,6565,6852,6197,4794,2293
+,1810,5385,4671,8551,5104,7523,1128,5293,6218,7345,4985,6246,1674,758,4209,9079,3916,4946,6176,5363
+,716,4094,2935,9119,2704,8655,8459,5951,9517,7856,8675,3364,8726,2104,8014,515,9613,3837,1716,2201
+,6557,651,1850,4717,5819,1484,5592,7916,3511,1589,5465,5414,3310,2578,8842,4825,1106,4872,7553,8568
+,962,7736,2398,6691,5347,3084,5653,8625,3382,6855,6899,2649,2701,7179,5664,240,6331,735,4175,1624
+,2373,9821,9741,5540,615,1524,3896,3971,2703,5027,1341,7862,923,8187,6755,3995,9108,8197,461,7520
+,7061,1625,6421,7257,4854,1046,7028,3035,8427,1306,2688,1785,6252,1889,8210,8302,1553,9171,7811,2361
+,9796,9491,6377,8470,1094,1538,5134,5482,7509,764,8768,7009,8541,111,5504,5652,6485,9197,3840,8921
-,359,8804,4642,5138,9708,3507,1890,8405,8025,6468,9046,1808,8470,5449,8248,4296,8656,6275,5863,632
+,4385,1821,7695,6825,1374,1597,4718,1144,8613,6997,2799,6804,4365,5871,1632,2488,9056,8146,1072,1743
+,1411,309,9603,7598,1154,2805,9004,5327,5189,3990,2974,9419,8569,7706,1545,3310,2930,1469,4984,8256
+,9277,310,8157,8059,2259,8593,6886,8371,5732,2283,3496,4608,8625,7384,9440,8750,3483,8902,3205,2308
+,2923,7599,4451,3225,6253,690,5665,7343,5137,8207,1703,4339,6364,1398,9803,6895,560,3384,1608,7348
+,7525,2170,1620,860,8324,2257,63,8362,1558,4861,3108,6386,9969,3289,6009,3093,2292,7857,1718,4536
+,9810,8298,1980,7793,4215,9841,5669,935,1837,8488,1442,7082,4654,6329,730,6533,6563,4730,6281,6301
+,1117,71,3518,2252,1827,162,7400,338,1468,2585,160,2684,8910,4447,6327,1926,2378,3839,6855,2054
+,3353,1662,234,8611,4974,2537,1218,8449,4084,4693,7608,403,6561,9445,7401,8392,1603,1029,9838,4179
+,5497,1999,3524,9361,3654,2013,3565,4192,1651,2683,6826,5400,8534,1772,9648,751,4795,1490,3242,8932
+,9382,5479,188,1752,3788,444,9797,7318,4974,1418,585,9069,420,2206,7531,8330,91,4767,5885,7715
-,7265,6909,9695,6447,4249,7541,270,868,6791,8375,6461,6322,9719,9920,1234,3668,9036,4300,4748,3381
+,6239,5685,4262,974,9343,4340,8655,1516,2158,3900,1901,8638,2120,5889,8413,5335,5383,9643,597,5455
+,9299,7975,7365,5417,6232,8315,9845,8423,5134,3468,8820,2845,1868,4710,2265,6151,8961,339,2113,1798
+,8165,6352,7247,4388,2932,2599,7102,4953,7165,7529,2461,6286,6990,9739,1262,4330,9235,432,1904,9302
+,198,1418,48,3947,6139,9129,5953,501,6130,5519,7571,5346,2095,625,8628,8009,4252,5028,4044,3960
+,7077,8195,3979,1735,3598,8432,9349,822,4527,5157,7034,1996,1805,4612,5128,1113,8188,7128,5496,7377
+,4034,753,7888,2656,3942,9764,5350,5158,3639,1870,4893,2491,5322,8694,4136,7401,274,4001,8627,6575
+,2221,9605,3570,5554,52,8150,3546,9294,2747,3878,1465,1998,5952,9519,8138,9236,4952,2447,4338,4185
+,6676,3782,4523,7227,4644,5886,2146,1244,3873,4764,2012,3671,6012,1349,1323,6169,7126,5461,8533,8261
+,9404,3577,3050,5771,2621,312,2778,1026,2369,3206,8055,465,486,2182,8558,2606,9917,6477,4400,7047
+,1246,5859,3721,2288,5475,9094,5539,2985,1541,5145,495,271,7424,9285,145,4846,9843,8340,3889,7094
-,8641,2982,128,4151,4700,4647,5676,7491,9920,2368,1727,5055,4854,670,1174,2412,1980,276,8163,4501
+,4517,8113,850,7198,2165,951,8204,701,7447,9108,9699,8587,9294,7561,5741,2247,6569,2601,281,9717
+,5700,381,3837,6037,146,868,6489,608,2347,9489,4979,7275,36,3396,440,8102,8142,2897,8711,240
+,952,9347,5696,6549,3683,6280,6643,8348,5376,9037,9987,7788,4918,6085,4406,8865,5624,6477,9067,1047
+,5192,741,246,5827,2725,4117,485,4746,4238,5217,756,776,1042,9173,430,3082,8981,7412,3269,9019
+,4702,2530,5649,6403,6417,1954,4396,8849,999,4792,3506,5655,2690,1865,759,6461,7666,8682,3040,9932
+,6228,3307,9346,483,4432,8241,2872,1562,7960,4330,944,9897,4156,5968,1476,9327,2565,6232,4236,7400
+,4415,5771,9525,7624,8014,9649,6272,222,1055,4098,3174,5991,7738,2187,5211,3824,5359,9017,5341,5794
+,7130,907,8417,889,7905,3314,7052,6739,6697,8044,4628,8129,3648,2749,2064,4328,4011,6903,2527,7989
+,5304,9504,8130,1593,6558,1735,6544,7130,9127,2408,5845,4783,8124,8860,817,2474,2343,2713,5596,1602
+,1701,6982,3860,2754,6026,8166,6607,1418,9736,8226,4358,3585,4858,8000,7513,746,1610,327,1624,7843
-,2485,7854,5786,967,2140,5789,6708,597,2291,5653,5826,8567,6134,6802,2722,2488,5654,7950,4588,8363
+,7743,9831,1970,2473,1008,625,7287,7526,4423,5486,2498,5893,7216,1481,116,8272,8853,1574,6958,8319
+,4877,9473,5850,7235,6811,4541,9169,1379,4332,2142,3726,8525,2508,4093,7530,5786,6580,3398,2675,6122
+,8776,862,2924,6084,7116,5908,1740,9275,3792,9322,9365,5901,5723,6848,7883,7080,8898,5606,232,7337
+,8454,6638,687,7174,1591,6488,8446,3398,9905,8628,948,466,7405,4034,7697,2047,7043,2425,5215,9991
+,41,50,5814,5337,8664,8531,442,8622,3388,4618,3669,4408,3171,9321,5588,2941,2634,1829,1440,756
+,627,9196,8168,1382,8221,9797,9157,4071,681,8175,6726,1552,9554,8746,7924,1982,9390,6085,3424,7865
+,3380,9385,6699,9740,959,9019,2380,8045,4017,3549,7814,5486,6832,4071,7315,7583,9207,6976,1069,8980
+,5900,297,4045,7592,6416,9580,9848,5705,8419,2514,7796,2299,5952,2634,4213,1367,692,507,9933,5723
+,4646,8210,839,896,3064,8740,123,5217,8608,2267,7445,4244,8596,5734,7064,3545,3157,1156,7820,8914
+,4789,7889,1325,6801,3183,7758,2826,3771,5174,1636,6471,7693,9936,6201,7072,1221,4971,688,4222,1073
-,547,236,2544,1131,3684,3586,4784,6150,11,1373,4203,8575,1070,4749,2356,6434,3274,832,4227,6246
+,972,660,9055,9746,2977,9727,4132,6220,4539,1261,2358,8723,7239,2891,4238,884,6489,4050,6467,6004
+,1496,8826,8920,2653,3230,7825,992,6499,4408,122,2216,5121,3333,7791,901,3247,956,2033,4444,9164
+,7938,9224,9400,5708,5451,1117,2047,8154,451,3366,6679,4181,1494,6414,8776,1770,4650,3472,5953,3994
+,3680,2405,2505,3871,8085,5400,7932,7742,3185,6576,225,2355,2069,5148,528,4593,8839,1241,5108,6730
+,2698,2723,5075,6443,7370,4820,6526,4067,2137,1044,6126,3057,7981,4360,834,819,441,7624,5096,9750
+,7423,8451,4218,2833,5604,6492,4502,6961,7731,8010,5604,4869,9009,3306,7924,7427,5889,7480,3317,9100
+,5666,1511,2422,8894,693,363,5628,3040,5060,931,9177,7972,5833,2245,9406,5918,6904,5509,9470,1278
+,4734,7816,3453,2879,6381,4222,8257,4918,3652,3596,562,2125,3908,8673,4779,4388,8092,2096,6446,4020
+,2872,2640,4317,712,4689,8414,7944,6893,9953,1733,596,7058,7423,7562,2960,7399,4556,9782,2658,8386
+,2282,6149,6544,2490,8116,1768,9679,6990,4511,1190,5909,768,3557,9394,1005,6978,240,4687,9886,9511
-,4125,9796,933,7300,9588,7182,6132,7639,7540,7152,4180,9737,9591,9821,356,4971,3817,1028,5240,252
+,9562,7462,925,6740,7055,3601,3978,7138,5921,9374,1950,4012,6199,6974,1705,3550,303,3598,8488,999
+,7661,3605,2534,5247,6420,9361,2009,5921,1116,9806,6971,7144,4356,7110,3763,9773,4638,2987,5851,9276
+,801,818,5590,9610,1550,425,9722,5291,6889,5936,1577,334,9867,9737,7720,4233,5200,7200,6500,3368
+,989,9141,7595,2011,393,4796,8316,4498,3226,7445,226,4862,2649,9828,7545,8385,583,8309,8805,7235
+,7236,6378,6495,6355,2610,7770,9003,3396,8445,8510,9809,1897,5114,1715,38,2548,6812,3122,5790,9265
+,8486,7487,8521,8381,204,1567,1632,7334,4878,9797,7173,9721,2694,9535,7474,8293,5825,9084,7238,1515
+,5485,4683,8583,6348,858,3756,2694,2957,4702,3472,6166,5742,3186,8882,3519,2468,3854,3996,8674,4546
+,8869,999,4612,3577,2393,2228,7569,1326,8195,2320,7422,953,2039,6003,5099,5912,8278,6128,8240,3457
+,1980,7966,3001,2155,3297,3203,6039,445,5888,1866,3250,5479,7527,1173,8696,237,8439,637,9901,9814
+,2638,4710,1346,6801,3302,4853,2477,2815,7948,2671,5501,5020,7007,9016,1164,7946,294,996,1247,6346
-,1428,4826,1452,6645,5094,805,3033,8541,2638,5290,5293,4951,1202,546,8659,1425,3275,3351,8205,2322
+,9181,9030,6863,7143,3421,6270,5782,2666,2098,6244,2280,282,8114,5602,5944,9974,4380,3405,1630,7994
+,562,360,9652,9539,8405,5449,2705,9431,5895,1499,1108,2219,4864,9253,8539,1574,4462,5458,7882,1125
+,1393,180,4880,4500,3114,8186,2699,1222,9261,3488,2683,805,9502,9122,3935,2826,7250,8848,4824,2323
+,4418,5775,6794,1820,8663,6046,4631,5502,7559,7434,1927,756,93,5042,2626,2423,1263,406,5313,4347
+,6494,3226,7143,4869,3204,1178,3092,3398,2832,578,5381,8646,8043,8508,7632,7309,1600,3156,9942,6774
+,5299,887,6754,9630,711,8231,4872,1185,6870,910,7766,8109,8805,6460,9531,520,9452,179,5713,8249
+,9856,1742,3290,9324,3627,4335,8683,1077,8256,9819,6415,6964,1916,367,6781,3368,1038,7972,9150,2004
+,8908,7973,9371,2885,239,5672,1690,9958,9974,7082,5634,934,1359,6134,7500,1538,6632,8724,6247,1025
+,6483,1636,6611,1289,4942,8963,629,9705,2662,387,2741,3239,7304,27,5341,1923,7606,8619,9108,701
+,4601,9220,6418,5145,6579,3909,1387,3917,4060,1926,6183,313,6,9027,7426,3343,4436,9739,7400,7749
-,533,6359,2566,9474,7448,9607,3192,7639,9358,8548,441,3555,7617,6291,7163,2549,3081,8046,7554,1229
+,543,1018,3146,2106,2404,4077,2266,1680,7073,3702,6406,6688,689,6484,9572,7227,7646,7575,158,5064
+,9483,6790,8178,1366,1230,7936,943,312,9972,3985,9045,1882,3992,9732,724,4849,3771,1290,5604,7107
+,7929,3060,6776,8286,4980,145,608,4611,8406,9288,7403,8154,2524,8368,4392,8157,7746,5673,9631,3764
+,4603,266,322,7234,3714,4300,10000,4560,7904,8677,2438,6848,1260,7972,9805,2398,7848,4047,8158,9349
+,6841,2917,9942,4406,2022,2549,850,7204,4540,8440,9944,1968,1982,3156,6071,8361,6028,3931,2122,7755
+,3005,6402,6450,5450,589,7286,4201,9367,9696,4794,2643,891,7160,4367,1058,922,2161,7617,1453,9015
+,4269,4474,5339,6434,5033,9923,89,909,5241,6620,8158,8532,4665,1281,1250,1808,3905,8664,6155,3910
+,6630,4553,9221,6725,817,7463,3140,9005,6098,9234,9727,8434,282,4878,9391,1069,1258,7543,9902,590
+,2690,3130,7327,7424,5860,8989,2042,7812,8663,4838,4947,4325,6447,2685,4704,2917,9788,8682,5565,7715
+,5786,8311,3813,1250,368,77,8064,6082,7767,4275,6171,9280,5378,5520,3403,4175,7194,1905,6526,8536
-,1411,309,9603,7598,1154,2805,9004,5327,5189,3990,2974,9419,8569,7706,1545,3310,2930,1469,4984,8256
+,9126,8449,7521,6381,1318,6739,1865,6884,250,3931,7868,9862,7330,680,1596,8295,9310,9401,9067,8142
+,7347,2618,1995,7497,6756,2276,1735,6810,7941,8496,1649,8294,1175,6597,2795,6435,9812,24,6461,815
+,871,4268,8378,7875,1502,6102,2920,5779,5742,2106,1543,1847,463,9384,5695,4853,7879,743,4291,5404
+,4597,9422,6004,1433,1609,3158,1682,1527,9317,2945,5899,1762,3408,2519,2674,6767,1834,3203,2067,5679
+,3448,5932,3366,621,5919,9856,9639,4082,1618,8544,4200,4327,8384,3106,9715,4427,7485,5938,2347,9772
+,8508,3697,4270,2931,3085,8461,4702,1512,664,4147,9649,255,6883,6825,4184,8891,3070,9438,2297,238
+,1650,6466,4479,8596,4450,2481,2686,7876,6816,4943,2272,8812,2104,7238,9754,2562,5468,9084,8417,341
+,5765,7820,5279,5132,2200,7499,916,7542,6474,1993,2763,3869,576,4031,2406,9561,324,6101,2823,7380
+,8155,3145,2423,1433,5022,327,3083,6849,3292,4849,539,4833,2486,8371,6241,533,5595,3649,7184,871
+,5877,339,3599,3320,5103,6718,675,5674,283,9754,4875,3511,421,7957,5063,1440,2144,7396,9984,9713
-,2622,8523,4007,4395,4011,9966,7510,7922,1452,5436,9506,4395,973,9963,730,4294,7020,3661,9425,304
+,1665,4592,9238,8082,5968,3526,9462,6451,6658,5161,7760,4234,6043,8087,2250,2200,8731,1622,5026,4708
+,722,7410,8042,4911,1543,8514,4392,1559,5565,8935,4786,8793,589,9709,8916,5599,8048,625,75,7890
+,6147,1566,1445,5547,8530,3653,3040,8608,61,8699,4176,9676,7893,6582,707,6317,708,5362,1012,799
+,5407,351,7084,48,8565,5254,8386,9203,701,3644,4951,5769,8806,2749,3988,9650,1696,536,6825,9796
+,2677,7167,6065,397,1978,229,8807,551,2402,3516,3059,6729,1973,5852,8877,4560,7324,6937,7775,6881
+,8546,6327,9940,8199,9881,2166,6247,3811,9639,9000,3713,1691,7472,5199,8539,3823,5427,6509,3761,2426
+,2201,7693,3835,87,289,2733,7883,6323,9225,9399,5998,8364,8783,8783,4403,3150,3825,9084,4269,4386
+,4032,7266,8684,4915,7039,9144,2661,101,5759,6287,452,4555,5422,5564,5852,3867,724,153,9432,8950
+,6758,378,3610,2615,33,2849,3457,6917,6145,9038,5602,337,2170,4514,1708,9822,9243,5531,6580,4872
+,6374,8549,9285,7964,9486,5947,1716,2258,7788,1326,567,1560,2393,3022,9427,3000,5491,1882,7779,5908
-,2429,5376,963,1962,8270,9773,4632,4944,407,551,5586,6144,5643,8266,7178,2236,4648,3197,3316,9856
